ChemicalName,KEGG_ID,Disease,shared_pathways,jaccard,link_type
Quercetin,C00389,"Pulmonary Disease, Chronic Obstructive",4,0.087,known
Tetrachlorodibenzodioxin,C07557,"Pulmonary Disease, Chronic Obstructive",4,0.087,known
"3-(2,4-diamino-6-(3-hydroxyphenyl)pteridin-7-yl)phenol",C00398,"Pulmonary Disease, Chronic Obstructive",3,0.0652,known
Acetaldehyde,C00084,"Pulmonary Disease, Chronic Obstructive",3,0.0526,novel_candidate
Acrolein,C01471,"Pulmonary Disease, Chronic Obstructive",3,0.0652,known
"Cholesterol, Dietary",C00187,"Pulmonary Disease, Chronic Obstructive",3,0.0476,novel_candidate
DDT,C04623,"Pulmonary Disease, Chronic Obstructive",3,0.0652,novel_candidate
Glutathione,C00051,"Pulmonary Disease, Chronic Obstructive",3,0.0588,novel_candidate
Leukotriene B4,C02165,"Pulmonary Disease, Chronic Obstructive",3,0.06,novel_candidate
Oxygen,C00007,"Pulmonary Disease, Chronic Obstructive",3,0.0556,novel_candidate
Resveratrol,C03582,"Pulmonary Disease, Chronic Obstructive",3,0.0652,known
pyrene,C07535,"Pulmonary Disease, Chronic Obstructive",3,0.0625,novel_candidate
4-hydroxy-2-nonenal,C21642,"Pulmonary Disease, Chronic Obstructive",2,0.0435,known
Apigenin,C01460,"Pulmonary Disease, Chronic Obstructive",2,0.0435,novel_candidate
Betaine,C00318,"Pulmonary Disease, Chronic Obstructive",2,0.0426,novel_candidate
Eucalyptol,C09844,"Pulmonary Disease, Chronic Obstructive",2,0.0435,known
Formaldehyde,C00067,"Pulmonary Disease, Chronic Obstructive",2,0.0435,novel_candidate
Hyaluronic Acid,C00518,"Pulmonary Disease, Chronic Obstructive",2,0.0435,known
Hydrogen Sulfide,C00283,"Pulmonary Disease, Chronic Obstructive",2,0.0426,novel_candidate
Leukotriene C4,C02166,"Pulmonary Disease, Chronic Obstructive",2,0.04,novel_candidate
Methotrexate,C01937,"Pulmonary Disease, Chronic Obstructive",2,0.0435,known
nickel sulfate,C00291,"Pulmonary Disease, Chronic Obstructive",2,0.0426,novel_candidate
Nicotine,C00745,"Pulmonary Disease, Chronic Obstructive",2,0.04,novel_candidate
