DiseaseName,# ChemicalName,ChemicalID,CasRN,DirectEvidence,PubMedIDs
" Pulmonary Disease, Chronic Obstructive",Aminophylline,D000628,317-34-0,therapeutic,16868215
" Pulmonary Disease, Chronic Obstructive",Arsenic,D001151,7440-38-2,marker/mechanism,26383851
" Pulmonary Disease, Chronic Obstructive",Asbestos,D001194,1332-21-4,marker/mechanism,27025411
" Pulmonary Disease, Chronic Obstructive",bambuterol,C047766,81732-65-2,therapeutic,10027655
" Pulmonary Disease, Chronic Obstructive",Beclomethasone,D001507,4419-39-0,therapeutic,12668791|15894479
" Pulmonary Disease, Chronic Obstructive",bufei jianpi,C000610679,,therapeutic,28887809
" Pulmonary Disease, Chronic Obstructive",Bu-Fei-Yi-Shen,C574914,,therapeutic,23107470|24280466|25204290|26469778|27146975|27562320|27699176|28887809|29454913|32344236|33545548
" Pulmonary Disease, Chronic Obstructive",Cadmium,D002104,7440-43-9,marker/mechanism,30998937
" Pulmonary Disease, Chronic Obstructive",Carbocysteine,D002233,2387-59-9,therapeutic,24076166|24998638
" Pulmonary Disease, Chronic Obstructive",Carbon Monoxide,D002248,630-08-0,marker/mechanism,32000783
" Pulmonary Disease, Chronic Obstructive",chrysene,C031180,0218-01-09,marker/mechanism,33345606
" Pulmonary Disease, Chronic Obstructive",Clarithromycin,D017291,81103-11-9,therapeutic,9825040
" Pulmonary Disease, Chronic Obstructive",Creatinine,D003404,60-27-5,marker/mechanism,18068611
" Pulmonary Disease, Chronic Obstructive",Cyclohexane,C506365,,marker/mechanism,23981468
" Pulmonary Disease, Chronic Obstructive",dilmapimod,C574213,,therapeutic,21888439
" Pulmonary Disease, Chronic Obstructive",Dust,D004391,,marker/mechanism,33033587
" Pulmonary Disease, Chronic Obstructive",Enalapril,D004656,75847-73-3,therapeutic,20096799
" Pulmonary Disease, Chronic Obstructive",enprofylline,C034347,41078-02-08,therapeutic,2218006|6288396
" Pulmonary Disease, Chronic Obstructive",Epinephrine,D004837,51-43-4,therapeutic,234363
" Pulmonary Disease, Chronic Obstructive",Eucalyptol,D000077591,470-82-6,therapeutic,29789401
" Pulmonary Disease, Chronic Obstructive","fenoterol, ipratropium drug combination",C030809,,therapeutic,2951798
" Pulmonary Disease, Chronic Obstructive",fluor-edenite,C492470,,marker/mechanism,15250654
