# ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,PubMedIDs
ASTHMA(223 compounds),,,,,,
Theophylline,D013806,58-55-9,Asthma,MESH:D001249,therapeutic,10596698|10916367|11758890|11951074|12070353|12113382|12355682|12734767|1424400|15370247|15645133|16083514|16270722|16430859|16569937|17130682|1758745|17943569|208429|2496015|2578971|2828249|3025113|3074291|3109801|3523664|3537092|3707814|6586482|7140872|7148765|7235434|7312482|7332913|7437783|8162974|8346082|8760775|9701106|9878995
"theophylline, salbutamol drug combination",C095476,,Asthma,MESH:D001249,therapeutic,2721092
Timolol,D013999,26839-75-8,Asthma,MESH:D001249,marker/mechanism,7402591
Tobacco Smoke Pollution,D014028,,Asthma,MESH:D001249,marker/mechanism,14959814|16425588|19826548|21572527|22357138|24380835|25003170|29664587|32816747
"Toluene 2,4-Diisocyanate",D014051,584-84-9,Asthma,MESH:D001249,marker/mechanism,10797510|10934080|11077013|11467998|11742282|12585506|12684321|12762349|15590890|15590891|15855793|16210060|16792590|170078|17015710|18394133|19187332|20032816|20888385|25929181|26089345|28329851|30261222|3040596|30517707|31070765|31577921|33075463|33711354|6091945|6091946|7684630|8156442
tranilast,C012293,53902-12-8,Asthma,MESH:D001249,therapeutic,2434109
Tretinoin,D014212,302-79-4,Asthma,MESH:D001249,therapeutic,16456186
Triamcinolone Acetonide,D014222,76-25-5,Asthma,MESH:D001249,therapeutic,10071519|10806605
Triclosan,D014260,3380-34-5,Asthma,MESH:D001249,marker/mechanism,33654271
trimellitic anhydride,C015559,552-30-7,Asthma,MESH:D001249,marker/mechanism,16141432
"Trimethoprim, Sulfamethoxazole Drug Combination",D015662,8064-90-2,Asthma,MESH:D001249,therapeutic,4430301
tulobuterol,C010809,41570-61-0,Asthma,MESH:D001249,therapeutic,15007912|15212190
Vasodilator Agents,D014665,,Asthma,MESH:D001249,therapeutic,21059121
Vehicle Emissions,D001335,,Asthma,MESH:D001249,marker/mechanism,15121522|15226151|17903240|20565827|21513554|21995638|24060272|24365139
verlukast,C059141,,Asthma,MESH:D001249,therapeutic,8303624
Vitamin A,D014801,11103-57-4,Asthma,MESH:D001249,marker/mechanism,16732791
zafirlukast,C062735,107753-78-6,Asthma,MESH:D001249,therapeutic,10027429|10064661|10359889|10386485|10439636|10780761|10817796|10852428|10929920|10934090|10967152|11061985|11070746|11393122|11570617|11596838|11694805|11885876|11991558|12095178|12113382|12114351|12189465|12583521|12604023|12742009|14609035|15136378|15170009|15572850|1673495|18489783|19667530|19681236|20332717|8087328|8162986|8222486|9027267|9196086|9377612|9412547|9620945|9620946|9690572|9701106|9825082|9847434|9949315
zileuton,C063449,132880-11-6,Asthma,MESH:D001249,therapeutic,10181070|10764316|17944539|19214143|20332717|22059882|8598621|9620945
Zinc,D015032,7440-66-6,Asthma,MESH:D001249,marker/mechanism,19598279
Zinc,D015032,7440-66-6,Asthma,MESH:D001249,therapeutic,17085522
